TotalSales,ItemCount,UniqueCategories,ShippingDays,OrderYear,OrderMonth,OrderDay,OrderDayOfWeek,OrderQuarter,IsWeekend,IsHolidaySeason,AvgItemPrice,LogTotalSales,Segment_Consumer,Segment_Corporate,Segment_Home Office,Region_Central,Region_East,Region_South,Region_West,ShipMode_First Class,ShipMode_Same Day,ShipMode_Second Class,ShipMode_Standard Class
269.36,1,1,6,2022,12,7,2,4,0,1,269.36,5.599754404232153,0,0,1,0,0,0,1,0,0,0,1
8.016,1,1,4,2022,12,26,0,4,0,1,8.016,2.199000776737475,0,1,0,0,1,0,0,0,0,0,1
59.92,1,1,5,2022,4,20,2,2,0,0,59.92,4.109561528026961,1,0,0,0,0,0,1,0,0,0,1
69.99,1,1,1,2022,9,12,0,3,0,0,69.99,4.262539022051294,0,0,1,0,1,0,0,1,0,0,0
542.34,4,2,3,2022,11,28,0,4,0,1,135.585,6.297735274996073,0,1,0,0,0,1,0,0,0,1,0
803.9599999999999,2,2,3,2022,12,15,3,4,0,1,401.97999999999996,6.690792586743008,1,0,0,1,0,0,0,1,0,0,0
1.869,1,1,4,2022,3,31,3,1,0,0,1.869,1.0539635369992277,0,1,0,0,0,1,0,0,0,0,1
34.44,1,1,5,2022,11,17,3,4,0,1,34.44,3.56784112573688,0,0,1,0,1,0,0,0,0,1,0
1252.602,5,2,3,2022,10,28,4,4,0,0,250.52040000000002,7.133776286445771,0,1,0,0,0,0,1,1,0,0,0
48.94,1,1,4,2022,9,30,4,3,0,0,48.94,3.910822284851627,1,0,0,0,1,0,0,0,0,0,1
29.24,1,1,5,2022,10,4,1,4,0,0,29.24,3.4091655513113324,1,0,0,0,0,0,1,0,0,0,1
865.5,4,2,5,2022,11,21,0,4,0,1,216.375,6.7644621091556605,0,1,0,0,0,1,0,0,0,0,1
120.712,1,1,2,2022,11,24,3,4,0,1,120.712,4.801657598254946,1,0,0,0,0,0,1,0,0,1,0
408.76800000000003,2,2,5,2022,12,29,3,4,0,1,204.38400000000001,6.015591145884216,1,0,0,0,0,0,1,0,0,0,1
40.08,1,1,5,2022,1,23,6,1,1,0,40.08,3.7155213850603577,1,0,0,0,0,0,1,0,0,0,1
199.99,4,2,6,2022,4,6,2,2,0,0,49.9975,5.30325515557766,0,1,0,0,0,0,1,0,0,0,1
1044.44,4,2,4,2022,11,1,1,4,0,1,261.11,6.952193128412706,0,1,0,0,0,1,0,0,0,0,1
233.24399999999997,4,3,5,2022,9,9,4,3,0,0,58.31099999999999,5.456363307129877,1,0,0,0,1,0,0,0,0,1,0
4251.92,5,2,4,2022,4,5,1,2,0,0,850.384,8.355361084825132,0,1,0,0,0,1,0,0,0,1,0
99.98,1,1,1,2022,7,23,5,3,1,0,99.98,4.6149224774307696,1,0,0,0,1,0,0,1,0,0,0
5.312,1,1,2,2022,10,17,0,4,0,0,5.312,1.8424525835435732,1,0,0,1,0,0,0,0,0,1,0
1107.66,2,1,3,2022,12,20,1,4,0,1,553.83,7.01090735783758,1,0,0,1,0,0,0,1,0,0,0
331.536,1,1,5,2022,9,22,3,3,0,0,331.536,5.806748124911754,0,1,0,1,0,0,0,0,0,0,1
56.52,1,1,4,2022,11,9,2,4,0,1,56.52,4.052132713412791,0,0,1,0,1,0,0,0,0,0,1
1769.784,4,3,5,2022,5,10,1,2,0,0,442.446,7.479177665352969,1,0,0,0,0,0,1,0,0,0,1
242.546,3,2,3,2022,7,5,1,3,0,0,80.84866666666666,5.495305836385388,0,1,0,0,0,1,0,1,0,0,0
31.4,3,2,6,2022,8,26,4,3,0,0,10.466666666666667,3.4781584227982836,1,0,0,0,1,0,0,0,0,0,1
149.95,1,1,2,2022,1,15,5,1,1,0,149.95,5.016948656152848,1,0,0,0,0,1,0,1,0,0,0
779.796,1,1,6,2022,5,18,2,2,0,0,779.796,6.66031391213494,1,0,0,0,1,0,0,0,0,0,1
12.96,1,1,5,2022,11,21,0,4,0,1,12.96,2.6361960973342264,0,1,0,0,0,0,1,0,0,0,1
765.494,4,2,2,2022,5,30,0,2,0,0,191.3735,6.641826870492582,0,1,0,0,1,0,0,1,0,0,0
1488.774,4,2,5,2022,10,10,0,4,0,0,372.1935,7.306379709582907,0,1,0,1,0,0,0,0,0,0,1
10.896,1,1,5,2022,9,9,4,3,0,0,10.896,2.476202209157854,1,0,0,1,0,0,0,0,0,1,0
62.28,1,1,4,2022,11,30,2,4,0,1,62.28,4.147569323459399,1,0,0,0,1,0,0,0,0,0,1
1007.944,1,1,5,2022,8,25,3,3,0,0,1007.944,6.916659518317859,1,0,0,0,0,0,1,0,0,0,1
63.924,1,1,5,2022,9,12,0,3,0,0,63.924,4.173217355042824,1,0,0,0,1,0,0,0,0,0,1
11.364,2,1,4,2022,2,23,2,1,0,0,5.682,2.51478902426987,0,0,1,1,0,0,0,0,0,0,1
16.448,1,1,4,2022,1,3,0,1,0,0,16.448,2.859225028899328,1,0,0,1,0,0,0,0,0,0,1
21.19,2,2,7,2022,12,2,4,4,0,1,10.595,3.099641736944503,0,1,0,0,0,1,0,0,0,0,1
225.016,3,2,5,2022,5,11,2,2,0,0,75.00533333333333,5.420605793226512,1,0,0,1,0,0,0,0,0,0,1
260.79,4,2,4,2022,9,17,5,3,1,0,65.1975,5.567542655649251,1,0,0,0,0,0,1,0,0,0,1
590.762,7,3,2,2022,3,19,5,1,1,0,84.39457142857142,6.383104527022447,0,1,0,0,0,1,0,1,0,0,0
176.14,4,3,4,2022,8,25,3,3,0,0,44.035,5.176940380381437,0,1,0,0,0,0,1,0,0,0,1
457.568,1,1,5,2022,3,1,1,1,0,0,457.568,6.128108590405284,1,0,0,0,0,0,1,0,0,1,0
616.14,3,3,4,2022,6,27,0,2,0,0,205.38,6.4250959025424965,1,0,0,0,0,1,0,0,0,0,1
65.97,1,1,6,2022,6,17,4,2,0,0,65.97,4.204244757921959,1,0,0,0,1,0,0,0,0,0,1
133.128,2,2,5,2022,6,2,3,2,0,0,66.564,4.898794567895502,0,0,1,0,0,0,1,0,0,0,1
1143.8220000000001,4,2,5,2022,3,7,0,1,0,0,285.95550000000003,7.043004445388129,0,1,0,0,0,0,1,0,0,0,1
609.614,5,2,2,2022,12,30,4,4,0,1,121.92280000000001,6.414465008305207,0,1,0,1,0,0,0,0,0,1,0
60.416,1,1,5,2022,12,8,3,4,0,1,60.416,4.117670387525597,0,1,0,1,0,0,0,0,0,0,1
31.84,1,1,4,2022,5,21,5,2,1,0,31.84,3.4916472845842277,0,0,1,0,0,0,1,0,0,0,1
17.248,1,1,4,2022,2,4,4,1,0,0,17.248,2.904055484982087,0,1,0,0,0,0,1,0,0,1,0
21.98,1,1,3,2022,11,18,4,4,0,1,21.98,3.1346242724206097,0,1,0,0,0,0,1,0,0,1,0
34.68,1,1,7,2022,12,9,4,4,0,1,34.68,3.5745903077118086,0,1,0,0,0,0,1,0,0,0,1
469.043,5,3,3,2022,9,7,2,3,0,0,93.8086,6.15282417988091,0,0,1,1,0,0,0,1,0,0,0
18.9,1,1,5,2022,4,4,0,2,0,0,18.9,2.990719731730447,0,0,1,0,0,0,1,0,0,0,1
460.092,3,2,0,2022,11,28,0,4,0,1,153.364,6.133597589246492,0,0,1,0,0,0,1,0,1,0,0
143.128,2,2,7,2022,11,11,4,4,0,1,71.564,4.970701793637116,1,0,0,0,0,0,1,0,0,0,1
6.928,1,1,3,2022,11,22,1,4,0,1,6.928,2.0704007970276868,1,0,0,1,0,0,0,1,0,0,0
87.15799999999999,2,2,5,2022,1,7,4,1,0,0,43.57899999999999,4.479130659121864,1,0,0,1,0,0,0,0,0,0,1
626.352,1,1,4,2022,3,3,3,1,0,0,626.352,6.441507786613698,1,0,0,0,0,0,1,0,0,0,1
70.368,1,1,7,2022,5,30,0,2,0,0,70.368,4.267849589611482,1,0,0,0,1,0,0,0,0,0,1
665.88,1,1,7,2022,11,11,4,4,0,1,665.88,6.502610119684893,1,0,0,1,0,0,0,0,0,0,1
1661.028,2,2,0,2022,11,24,3,4,0,1,830.514,7.415793822445563,0,1,0,0,1,0,0,0,1,0,0
12.78,1,1,1,2022,1,6,3,1,0,0,12.78,2.6232182655855123,0,1,0,0,0,1,0,1,0,0,0
268.935,1,1,4,2022,6,7,1,2,0,0,268.935,5.59818118927493,1,0,0,1,0,0,0,0,0,1,0
15.39,2,2,4,2022,12,26,0,4,0,1,7.695,2.7966713927557385,1,0,0,0,0,0,1,0,0,0,1
1280.992,2,2,5,2022,12,5,0,4,0,1,640.496,7.156170397211535,0,1,0,0,0,0,1,0,0,0,1
1007.936,9,3,4,2022,10,31,0,4,0,0,111.9928888888889,6.916651589204136,0,1,0,0,0,0,1,0,0,0,1
264.32,1,1,5,2022,9,5,0,3,0,0,264.32,5.580936644657355,1,0,0,0,1,0,0,0,0,0,1
8.288,1,1,0,2022,8,24,2,3,0,0,8.288,2.2287232443955904,0,1,0,0,0,0,1,0,1,0,0
1261.33,1,1,2,2022,12,6,1,4,0,1,1261.33,7.140714498617577,0,1,0,0,0,0,1,1,0,0,0
144.35999999999999,2,2,4,2022,12,29,3,4,0,1,72.17999999999999,4.979213424087916,1,0,0,1,0,0,0,0,0,0,1
310.88,1,1,6,2022,5,14,5,2,1,0,310.88,5.7426184984413995,0,1,0,0,0,1,0,0,0,0,1
475.944,1,1,6,2022,9,2,4,3,0,0,475.944,6.167399083577085,1,0,0,1,0,0,0,0,0,0,1
180.96,1,1,6,2022,7,5,1,3,0,0,180.96,5.203786882701803,0,0,1,0,0,0,1,0,0,0,1
46.26,1,1,5,2022,9,28,2,3,0,0,46.26,3.8556642717587617,0,1,0,0,1,0,0,0,0,0,1
117.136,2,1,4,2022,2,4,4,1,0,0,58.568,4.771836503171473,0,0,1,0,0,0,1,0,0,0,1
30.246000000000002,3,1,5,2022,8,25,3,3,0,0,10.082,3.4418913679897116,0,1,0,0,1,0,0,0,0,0,1
124.2,2,2,4,2022,11,2,2,4,0,1,62.1,4.829912458665998,1,0,0,0,1,0,0,0,0,0,1
47.76,2,1,6,2022,3,2,2,1,0,0,23.88,3.8869103046130706,0,0,1,0,1,0,0,0,0,0,1
23.472,1,1,5,2022,12,12,0,4,0,1,23.472,3.1975296068486023,1,0,0,0,0,1,0,0,0,0,1
79.56,2,2,4,2022,7,2,5,3,1,0,39.78,4.389002248410307,1,0,0,0,1,0,0,0,0,0,1
16.176,1,1,5,2022,2,14,0,1,0,0,16.176,2.84351306057648,1,0,0,1,0,0,0,0,0,1,0
115.36,1,1,5,2022,2,7,0,1,0,0,115.36,4.756688833627001,0,1,0,0,1,0,0,0,0,0,1
257.98,1,1,4,2022,10,28,4,4,0,0,257.98,5.556750838640694,0,1,0,1,0,0,0,0,0,0,1
661.5039999999999,2,2,4,2022,4,29,4,2,0,0,330.75199999999995,6.496026595577999,0,1,0,0,0,1,0,0,0,0,1
1771.52,4,2,6,2022,9,8,3,3,0,0,442.88,7.480157541840509,1,0,0,0,0,0,1,0,0,0,1
25.951999999999998,2,2,2,2022,8,24,2,3,0,0,12.975999999999999,3.294057506104252,0,1,0,0,1,0,0,1,0,0,0
1745.3600000000001,2,1,5,2022,6,8,2,2,0,0,872.6800000000001,7.465288900713235,1,0,0,0,1,0,0,0,0,0,1
8.952,1,1,4,2022,2,6,6,1,1,0,8.952,2.2977735359968237,1,0,0,1,0,0,0,0,0,1,0
598.144,7,2,3,2022,10,2,6,4,1,0,85.44914285714286,6.395501969891619,0,1,0,0,0,0,1,1,0,0,0
92.856,2,2,5,2022,12,16,4,4,0,1,46.428,4.54176169279504,1,0,0,1,0,0,0,0,0,0,1
1421.664,1,1,2,2022,10,31,0,4,0,0,1421.664,7.260286449337532,0,1,0,0,1,0,0,0,0,1,0
10.368,1,1,5,2022,10,24,0,4,0,0,10.368,2.4308023907947995,0,0,1,0,0,1,0,0,0,0,1
136.96,1,1,4,2022,5,28,5,2,1,0,136.96,4.92696378806864,1,0,0,0,0,0,1,0,0,0,1
212.952,3,2,0,2022,10,3,0,4,0,0,70.984,5.365751690797634,1,0,0,0,1,0,0,0,1,0,0
243.60000000000002,2,1,2,2022,8,15,0,3,0,0,121.80000000000001,5.499624223253072,1,0,0,0,0,1,0,1,0,0,0
17.28,1,1,4,2022,12,21,2,4,0,1,17.28,2.905807566026004,1,0,0,0,1,0,0,0,0,0,1
20.04,1,1,5,2022,11,5,5,4,1,1,20.04,3.046425387869509,0,0,1,0,0,0,1,0,0,0,1
32.4,1,1,3,2022,6,30,3,2,0,0,32.4,3.5085558999826545,0,1,0,0,0,0,1,0,0,1,0
545.94,1,1,3,2022,1,13,3,1,0,0,545.94,6.304339107191786,1,0,0,0,0,1,0,0,0,1,0
196.21,1,1,4,2022,8,12,4,3,0,0,196.21,5.284269150821977,0,1,0,0,1,0,0,0,0,0,1
82.63,2,2,6,2022,2,20,6,1,1,0,41.315,4.426402307393435,0,1,0,1,0,0,0,0,0,0,1
386.34,1,1,3,2022,10,6,3,4,0,0,386.34,5.9593028602995854,0,1,0,1,0,0,0,1,0,0,0
380.744,2,2,4,2022,9,1,3,3,0,0,190.372,5.944750226882889,1,0,0,0,1,0,0,0,0,0,1
35.98,1,1,6,2022,7,21,3,3,0,0,35.98,3.610377225958979,1,0,0,1,0,0,0,0,0,0,1
891.7760000000001,2,2,4,2022,8,12,4,3,0,0,445.88800000000003,6.7943357095452965,1,0,0,0,0,0,1,0,0,0,1
17.94,1,1,3,2022,7,14,3,3,0,0,17.94,2.9412760877579323,0,1,0,0,1,0,0,0,0,1,0
131.84,3,1,5,2022,9,7,2,3,0,0,43.946666666666665,4.889145396508546,0,1,0,0,0,0,1,0,0,1,0
247.784,2,1,2,2022,12,9,4,4,0,1,123.892,5.51658505011546,0,1,0,1,0,0,0,1,0,0,0
23.976,1,1,2,2022,12,6,1,4,0,1,23.976,3.217915363773076,1,0,0,1,0,0,0,0,0,1,0
151.95000000000002,2,2,6,2022,8,5,4,3,0,0,75.97500000000001,5.030111070596913,0,1,0,0,1,0,0,0,0,0,1
93.888,1,1,6,2022,10,22,5,4,1,0,93.888,4.552697248726974,0,0,1,0,1,0,0,0,0,0,1
302.376,1,1,4,2022,4,25,0,2,0,0,302.376,5.714972960291848,1,0,0,0,0,1,0,0,0,0,1
505.68600000000004,2,2,4,2022,7,12,1,3,0,0,252.84300000000002,6.227891482338955,0,0,1,0,0,0,1,0,0,0,1
127.869,1,1,3,2022,5,5,3,2,0,0,127.869,4.8587963845122975,1,0,0,1,0,0,0,1,0,0,0
23.68,1,1,6,2022,11,23,2,4,0,1,23.68,3.205993199037187,0,0,1,1,0,0,0,0,0,0,1
2216.8,3,3,2,2022,10,18,1,4,0,0,738.9333333333334,7.704270992519116,0,1,0,0,0,1,0,0,0,1,0
20.88,1,1,7,2022,8,9,1,3,0,0,20.88,3.0855729775537806,0,0,1,0,0,0,1,0,0,0,1
410.104,3,2,7,2022,4,11,0,2,0,0,136.70133333333334,6.0188462238491995,1,0,0,0,0,0,1,0,0,0,1
83.92,1,1,7,2022,10,6,3,4,0,0,83.92,4.441709636835055,1,0,0,0,1,0,0,0,0,0,1
71.84,2,1,0,2022,8,23,1,3,0,0,35.92,4.288265254859407,1,0,0,0,1,0,0,0,1,0,0
1365.6299999999999,7,3,4,2022,12,29,3,4,0,1,195.08999999999997,7.220103134396085,0,1,0,0,0,0,1,0,0,0,1
323.458,4,2,5,2022,4,18,0,2,0,0,80.8645,5.782156097875232,1,0,0,0,0,0,1,0,0,0,1
334.68,2,1,5,2022,6,1,2,2,0,0,167.34,5.816158325207932,0,0,1,0,1,0,0,0,0,0,1
97.11200000000001,2,1,3,2022,2,3,3,1,0,0,48.556000000000004,4.586109683249349,1,0,0,0,0,0,1,0,0,1,0
77.21000000000001,2,2,4,2022,12,31,5,4,1,1,38.605000000000004,4.35939751661352,0,1,0,1,0,0,0,0,0,0,1
1367.84,1,1,6,2022,7,30,5,3,1,0,1367.84,7.221718944827806,0,1,0,0,0,0,1,0,0,0,1
855.272,5,2,2,2022,12,26,0,4,0,1,171.05440000000002,6.752588082677022,0,1,0,0,0,0,1,1,0,0,0
484.78999999999996,4,2,4,2022,8,17,2,3,0,0,121.19749999999999,6.185776431753489,0,1,0,0,0,1,0,0,0,0,1
13.92,1,1,4,2022,6,29,2,2,0,0,13.92,2.702702594775615,1,0,0,0,1,0,0,0,0,0,1
48.91,1,1,3,2022,4,23,5,2,1,0,48.91,3.9102213834815176,0,0,1,0,0,0,1,0,0,1,0
1198.33,1,1,3,2022,3,18,4,1,0,0,1198.33,7.089518346516661,0,0,1,0,0,0,1,0,0,1,0
43.312000000000005,2,1,1,2022,5,4,2,2,0,0,21.656000000000002,3.791255520730803,1,0,0,1,0,0,0,1,0,0,0
47.32,2,1,2,2022,5,5,3,2,0,0,23.66,3.8778455536265595,0,1,0,0,0,1,0,1,0,0,0
817.798,2,1,5,2022,9,29,3,3,0,0,408.899,6.707837411185226,1,0,0,0,0,0,1,0,0,0,1
1050.6,3,3,2,2022,12,2,4,4,0,1,350.2,6.958068092855726,1,0,0,0,1,0,0,1,0,0,0
288.06,3,1,4,2022,1,4,1,1,0,0,96.02,5.666634279020696,0,0,1,1,0,0,0,0,0,0,1
0.852,1,1,0,2022,3,31,3,1,0,0,0.852,0.6162661362239876,1,0,0,0,1,0,0,0,1,0,0
1.167,1,1,5,2022,12,16,4,4,0,1,1.167,0.773343722554222,0,1,0,0,0,1,0,0,0,0,1
127.95,1,1,5,2022,9,11,6,3,1,0,127.95,4.859424732327354,1,0,0,0,0,0,1,0,0,0,1
182.94,1,1,4,2022,9,17,5,3,1,0,182.94,5.214609617474552,1,0,0,0,0,0,1,0,0,0,1
11.85,1,1,0,2022,10,24,0,4,0,0,11.85,2.553343811341229,1,0,0,0,0,1,0,0,1,0,0
9.568,1,1,2,2022,12,24,5,4,1,1,9.568,2.357830567220024,1,0,0,0,0,1,0,1,0,0,0
172.097,4,2,5,2022,7,9,5,3,1,0,43.02425,5.153852131009449,0,0,1,0,0,0,1,0,0,0,1
30.72,3,2,3,2022,12,12,0,4,0,1,10.24,3.456947396766647,1,0,0,0,0,0,1,0,0,1,0
460.21999999999997,2,1,5,2022,9,14,2,3,0,0,230.10999999999999,6.133875152589096,1,0,0,0,1,0,0,0,0,0,1
336.82,2,2,3,2022,9,10,5,3,1,0,168.41,5.8225132092521985,1,0,0,0,1,0,0,1,0,0,0
90.24,1,1,2,2022,12,13,1,4,0,1,90.24,4.5134933974161875,1,0,0,0,0,0,1,0,0,1,0
287.456,2,2,6,2022,5,13,4,2,0,0,143.728,5.664542561318598,0,1,0,0,0,0,1,0,0,0,1
340.116,1,1,4,2022,9,13,1,3,0,0,340.116,5.832222595389875,0,0,1,1,0,0,0,0,0,0,1
651.588,2,2,4,2022,3,1,1,1,0,0,325.794,6.480945996003643,0,0,1,1,0,0,0,0,0,0,1
55.48,1,1,2,2022,4,5,1,2,0,0,55.48,4.033886593184986,0,0,1,0,1,0,0,1,0,0,0
115.952,3,1,5,2022,6,16,3,2,0,0,38.650666666666666,4.761763594209315,1,0,0,0,1,0,0,0,0,0,1
18.464,1,1,7,2022,9,23,4,3,0,0,18.464,2.9685666054812216,0,0,1,0,1,0,0,0,0,0,1
68.70400000000001,3,1,4,2022,7,9,5,3,1,0,22.901333333333337,4.244257704928986,0,0,1,0,0,0,1,0,0,0,1
372.28499999999997,2,2,4,2022,5,10,1,2,0,0,186.14249999999998,5.922342202954092,1,0,0,0,1,0,0,0,0,1,0
1476.8339999999998,5,3,5,2022,11,5,5,4,1,1,295.36679999999996,7.298332781262711,1,0,0,0,1,0,0,0,0,0,1
16.23,2,2,4,2022,10,11,1,4,0,0,8.115,2.8466520505398383,0,1,0,0,0,1,0,0,0,0,1
1417.35,3,2,5,2022,8,20,5,3,1,0,472.45,7.25724950315164,0,1,0,0,0,1,0,0,0,0,1
337.088,1,1,5,2022,9,28,2,3,0,0,337.088,5.823306216626116,1,0,0,0,0,1,0,0,0,0,1
149.97,1,1,4,2022,5,13,4,2,0,0,149.97,5.017081141579645,1,0,0,0,0,0,1,0,0,0,1
280.276,5,2,5,2022,3,14,0,1,0,0,56.0552,5.63933639369035,1,0,0,0,0,0,1,0,0,0,1
109.83600000000001,2,2,4,2022,12,23,4,4,0,1,54.918000000000006,4.708051631288734,0,1,0,0,1,0,0,0,0,0,1
14.52,1,1,4,2022,6,13,0,2,0,0,14.52,2.7421295147550726,0,1,0,0,0,0,1,0,0,0,1
782.6300000000001,4,2,2,2022,3,11,4,1,0,0,195.65750000000003,6.663936970176744,0,1,0,0,0,1,0,0,0,1,0
26.136,1,1,0,2022,5,2,0,2,0,0,26.136,3.3008612596094924,1,0,0,0,1,0,0,0,1,0,0
605.34,1,1,4,2022,10,18,1,4,0,0,605.34,6.407440884841794,0,1,0,0,0,1,0,0,0,0,1
52.752,3,2,4,2022,9,26,0,3,0,0,17.584,3.9843808756178487,0,0,1,0,1,0,0,0,0,0,1
290.666,1,1,2,2022,1,31,0,1,0,0,290.666,5.6756093119726065,1,0,0,0,0,0,1,1,0,0,0
199.256,4,1,2,2022,8,25,3,3,0,0,49.814,5.299596548046417,1,0,0,0,1,0,0,0,0,1,0
14.48,1,1,7,2022,11,18,4,4,0,1,14.48,2.739548868161581,0,1,0,1,0,0,0,0,0,0,1
62.91,1,1,5,2022,8,6,5,3,1,0,62.91,4.157475843662191,1,0,0,0,0,1,0,0,0,1,0
299.964,4,3,2,2022,1,16,6,1,1,0,74.991,5.706990656267163,1,0,0,0,1,0,0,0,0,1,0
3714.304,7,3,5,2022,6,9,3,2,0,0,530.6148571428572,8.22021578422116,1,0,0,0,0,0,1,0,0,0,1
409.30400000000003,2,2,4,2022,11,2,2,4,0,1,204.65200000000002,6.016898348364792,1,0,0,0,0,0,1,0,0,0,1
2.624,1,1,2,2022,11,24,3,4,0,1,2.624,1.287578388180733,1,0,0,0,1,0,0,1,0,0,0
9.51,2,2,4,2022,7,15,4,3,0,0,4.755,2.3523271848888596,0,1,0,1,0,0,0,0,0,0,1
256.47999999999996,3,2,6,2022,7,26,1,3,0,0,85.49333333333333,5.550942047184415,1,0,0,0,0,1,0,0,0,0,1
354.9,1,1,0,2022,3,4,4,1,0,0,354.9,5.874649792516147,1,0,0,0,0,1,0,0,1,0,0
3785.292,1,1,5,2022,9,12,0,3,0,0,3785.292,8.239142455049814,1,0,0,0,1,0,0,0,0,1,0
362.176,3,1,6,2022,11,15,1,4,0,1,120.72533333333332,5.894887565248651,1,0,0,0,0,1,0,0,0,0,1
186.304,1,1,6,2022,12,14,2,4,0,1,186.304,5.232732965335192,1,0,0,0,0,1,0,0,0,0,1
1799.97,1,1,2,2022,5,8,6,2,1,0,1799.97,7.496080687624671,1,0,0,0,1,0,0,1,0,0,0
6.16,1,1,4,2022,12,15,3,4,0,1,6.16,1.9685099809725544,1,0,0,0,0,0,1,0,0,1,0
47.232,2,1,4,2022,6,30,3,2,0,0,23.616,3.8760227011871047,0,1,0,1,0,0,0,0,0,0,1
34.0,2,1,4,2022,4,26,1,2,0,0,17.0,3.5553480614894135,0,0,1,0,0,0,1,0,0,0,1
408.47,2,2,5,2022,10,11,1,4,0,0,204.235,6.0148636405362135,0,0,1,0,0,0,1,0,0,0,1
9900.19,4,1,5,2022,9,23,4,3,0,0,2475.0475,9.2004102309192,1,0,0,1,0,0,0,0,0,0,1
1173.616,3,2,4,2022,7,21,3,3,0,0,391.20533333333333,7.068696564654082,0,1,0,0,0,0,1,0,0,0,1
15.552,1,1,5,2022,3,4,4,1,0,0,15.552,2.8065069404432417,1,0,0,0,0,1,0,0,0,0,1
13.44,1,1,0,2022,10,19,2,4,0,0,13.44,2.67000213346468,1,0,0,0,0,0,1,0,1,0,0
202.89600000000002,4,2,4,2022,8,1,0,3,0,0,50.724000000000004,5.3176100599284455,0,1,0,0,0,1,0,0,0,0,1
129.92,1,1,6,2022,10,7,4,4,0,0,129.92,4.87458644963298,0,0,1,0,1,0,0,0,0,0,1
1136.092,4,2,2,2022,7,22,4,3,0,0,284.023,7.036229405164894,1,0,0,0,0,0,1,0,0,1,0
6.57,1,1,3,2022,9,21,2,3,0,0,6.57,2.0241930674493576,1,0,0,0,1,0,0,1,0,0,0
3333.8999999999996,2,2,4,2022,5,21,5,2,1,0,1666.9499999999998,8.112197972892668,0,1,0,0,0,1,0,0,0,0,1
46.8,1,1,4,2022,5,4,2,2,0,0,46.8,3.86702563949741,1,0,0,1,0,0,0,0,0,0,1
643.78,4,2,6,2022,9,7,2,3,0,0,160.945,6.468909173341643,0,0,1,1,0,0,0,0,0,0,1
40.846000000000004,2,1,5,2022,1,13,3,1,0,0,20.423000000000002,3.7339962129170594,1,0,0,0,1,0,0,0,0,0,1
8.736,1,1,4,2022,12,29,3,4,0,1,8.736,2.275830355685226,0,0,1,1,0,0,0,0,0,0,1
19.98,1,1,5,2022,4,29,4,2,0,0,19.98,3.043569602968151,1,0,0,0,1,0,0,0,0,0,1
249.92000000000002,5,1,7,2022,3,17,3,1,0,0,49.984,5.525134163228542,1,0,0,1,0,0,0,0,0,0,1
